col.name,condition,rep,file,sample,ctrl,ID,ctrl.ID
channel_126,Tryptamine_3min,rep1,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_Tryptamine_3min_rep1,phospho_DMSO_3min_rep1
channel_127N,DMSO_3min,rep1,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_DMSO_3min_rep1,phospho_DMSO_3min_rep1
channel_127C,Tryptamine_15min,rep1,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_Tryptamine_15min_rep1,phospho_DMSO_3min_rep1
channel_128N,DMSO_15min,rep1,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_DMSO_15min_rep1,phospho_DMSO_3min_rep1
channel_128C,Tryptamine_30min,rep1,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_Tryptamine_30min_rep1,phospho_DMSO_3min_rep1
channel_129N,DMSO_30min,rep1,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_DMSO_30min_rep1,phospho_DMSO_3min_rep1
channel_129C,Tryptamine_3min,rep2,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_Tryptamine_3min_rep2,phospho_DMSO_3min_rep2
channel_130N,DMSO_3min,rep2,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_DMSO_3min_rep2,phospho_DMSO_3min_rep2
channel_130C,Tryptamine_15min,rep2,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_Tryptamine_15min_rep2,phospho_DMSO_3min_rep2
channel_131N,DMSO_15min,rep2,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_DMSO_15min_rep2,phospho_DMSO_3min_rep2
channel_131C,Tryptamine_30min,rep2,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_Tryptamine_30min_rep2,phospho_DMSO_3min_rep2
channel_132N,DMSO_30min,rep2,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_DMSO_30min_rep2,phospho_DMSO_3min_rep2
channel_132C,Tryptamine_3min,rep3,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_Tryptamine_3min_rep3,phospho_DMSO_3min_rep3
channel_133N,DMSO_3min,rep3,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_DMSO_3min_rep3,phospho_DMSO_3min_rep3
channel_133C,Tryptamine_15min,rep3,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_Tryptamine_15min_rep3,phospho_DMSO_3min_rep3
channel_134N,DMSO_15min,rep3,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_DMSO_15min_rep3,phospho_DMSO_3min_rep3
channel_134C,Tryptamine_30min,rep3,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_Tryptamine_30min_rep3,phospho_DMSO_3min_rep3
channel_135N,DMSO_30min,rep3,phosphosites_tryptamine_phosphoproteomics.tsv,phospho,DMSO_3min,phospho_DMSO_30min_rep3,phospho_DMSO_3min_rep3
channel_126,Tryptamine_3min,rep1,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_Tryptamine_3min_rep1,input_DMSO_3min_rep1
channel_127N,DMSO_3min,rep1,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_DMSO_3min_rep1,input_DMSO_3min_rep1
channel_127C,Tryptamine_15min,rep1,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_Tryptamine_15min_rep1,input_DMSO_3min_rep1
channel_128N,DMSO_15min,rep1,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_DMSO_15min_rep1,input_DMSO_3min_rep1
channel_128C,Tryptamine_30min,rep1,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_Tryptamine_30min_rep1,input_DMSO_3min_rep1
channel_129N,DMSO_30min,rep1,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_DMSO_30min_rep1,input_DMSO_3min_rep1
channel_129C,Tryptamine_3min,rep2,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_Tryptamine_3min_rep2,input_DMSO_3min_rep2
channel_130N,DMSO_3min,rep2,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_DMSO_3min_rep2,input_DMSO_3min_rep2
channel_130C,Tryptamine_15min,rep2,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_Tryptamine_15min_rep2,input_DMSO_3min_rep2
channel_131N,DMSO_15min,rep2,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_DMSO_15min_rep2,input_DMSO_3min_rep2
channel_131C,Tryptamine_30min,rep2,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_Tryptamine_30min_rep2,input_DMSO_3min_rep2
channel_132N,DMSO_30min,rep2,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_DMSO_30min_rep2,input_DMSO_3min_rep2
channel_132C,Tryptamine_3min,rep3,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_Tryptamine_3min_rep3,input_DMSO_3min_rep3
channel_133N,DMSO_3min,rep3,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_DMSO_3min_rep3,input_DMSO_3min_rep3
channel_133C,Tryptamine_15min,rep3,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_Tryptamine_15min_rep3,input_DMSO_3min_rep3
channel_134N,DMSO_15min,rep3,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_DMSO_15min_rep3,input_DMSO_3min_rep3
channel_134C,Tryptamine_30min,rep3,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_Tryptamine_30min_rep3,input_DMSO_3min_rep3
channel_135N,DMSO_30min,rep3,input_tryptamine_phosphoproteomics.tsv,input,DMSO_3min,input_DMSO_30min_rep3,input_DMSO_3min_rep3
