automated_name	Gene	Gene.short	clean_annotation_name	clean_annotation_name_fixed	is_hit_or_candidate	n_phosphosites	n_hits	n_candidates	comparisons_with_hit_or_candidate	Figure4D	Figure4E	in_original_modules	missing_from_original_modules	has_annotation	Plot_Module	Label_Name_orig	Actin dynamics	Actin network assembly	Actomyosin contractility	Apoptosis	Cdc42 GTPase signaling	Chaperone	Differentiation (gland cell related)	Differentiation (muscle cell related)	Differentiation (reproductive cell related)	Differentiation of spicule cells	Exocytosis	GPCR signaling	Hematopoietic identity transcription activity	JNK/p38 MAPK signaling	Lysosomal transporter	Lysosomes	Metabolism	Microtubule dynamics	MTORC1 signaling	MTORC2 signaling	NO signaling	Phospholipid signaling	PI3K signaling	Plasma membrane transporter	Post-synaptic scaffold	Rac1 GTPase signaling	Ras GTPase signaling	Regulation of adhesion complexes	Regulation of calcium signaling	Regulation of cAMP signaling	Regulation of cell cycle	Regulation of ciliary function	Regulation of cytoskeleton at the membrane	Regulation of inflammation	RhoA GTPase signaling	RNA processing	Stress-related transcription activity	Synaptic vesicle	Vesicular trafficking	Rho signaling
c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	MOSPD2	MOSPD2	MOSPD2	TRUE	3	1	5	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
"c91485-g1 (Inherit from KOG: Pleckstrin homology domain containing, family H (With MyTH4 domain) member) - ema"	"c91485-g1 (Inherit from KOG: Pleckstrin homology domain containing, family H (With MyTH4 domain) member) - ema"	(Inherit from KOG: Pleckstr…	"Pleckstrinhomologydomaincontaining,familyHWithMyTH4domain"	"Pleckstrinhomologydomaincontaining,familyHWithMyTH4domain"	TRUE	2	0	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c100008-g1 1-to-2 RPRD1B,RPRD1A regulation of nuclear pre-mRNA domain containing 1B"	"c100008-g1 1-to-2 RPRD1B,RPRD1A regulation of nuclear pre-mRNA domain containing 1B"	RPRD1B/RPRD1A	"RPRD1B,RPRD1A"	"RPRD1B,RPRD1A"	TRUE	1	0	1	Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
c100015-g1 LDLRAP1 (low density lipoprotein receptor adaptor protein 1) - emapper OG	c100015-g1 LDLRAP1 (low density lipoprotein receptor adaptor protein 1) - emapper OG	LDLRAP1	LDLRAP1	LDLRAP1	TRUE	4	2	5	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c100024-g1 (Pyruvate phosphate dikinase, PEP/pyruvate binding domain) - emapper OG"	"c100024-g1 (Pyruvate phosphate dikinase, PEP/pyruvate binding domain) - emapper OG"	(Pyruvate phosphate dikinase	"Pyruvatephosphatedikinase,PEP/pyruvatebindingdomain"	"Pyruvatephosphatedikinase,PEP/pyruvatebindingdomain"	TRUE	2	0	5	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c99111-g1 (mannose receptor, C type 1) - emapper OG"	"c99111-g1 (mannose receptor, C type 1) - emapper OG"	(mannose receptor			TRUE	1	2	1	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
"c104383-g1 1-to-2 ABL1,ABL2 ABL proto-oncogene 1, non-receptor tyrosine kinase"	"c104383-g1 1-to-2 ABL1,ABL2 ABL proto-oncogene 1, non-receptor tyrosine kinase"	ABL1	"ABL1,ABL2"	"ABL1,ABL2"	TRUE	3	0	4	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); (Tryptamine_30min vs DMSO_30min) against (Tryptamine_15min vs DMSO_15min); Tryptamine_15min vs DMSO_15min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c100046-g1	c100046-g1	c100046-g1			TRUE	2	0	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			FALSE	TRUE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c94693-g1 (protein phosphatase, Mg2 Mn2 dependent) - emapper OG"	"c94693-g1 (protein phosphatase, Mg2 Mn2 dependent) - emapper OG"	(protein phosphatase			TRUE	2	1	3	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c95711-g2 (RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)) - emapper OG"	"c95711-g2 (RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)) - emapper OG"	(RNA recognition motif. (a.…			TRUE	1	3	0	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
