length	gene_names
1711	c100000-g1
4890	c100000-g3
2395	c100001-g1
1033	c100001-g3
387	c100002-g1
202	c100003-g1
261	c100003-g2
2373	c100004-g1
524	c100005-g1
1108	c100006-g1
1187	c100007-g1
1078	c100008-g1
1305	c100009-g1
441	c100010-g1
235	c100010-g2
204	c100010-g3
738	c100011-g1
651	c100011-g2
337	c100011-g3
1205	c100012-g1
1733	c100012-g2
568	c100012-g3
421	c100013-g1
333	c100013-g2
352	c100014-g1
480	c100014-g2
474	c100014-g3
371	c100014-g4
328	c100014-g5
1095	c100015-g1
1380	c100016-g1
532	c100017-g1
1245	c100018-g1
728	c100019-g1
639	c100020-g1
1196	c100021-g1
300	c100022-g1
9476	c100023-g1
1776	c100024-g1
4583	c100025-g1
2149	c100026-g1
540	c100027-g1
259	c100027-g2
516	c100028-g1
2090	c100029-g1
300	c10002-g1
1995	c100030-g1
2612	c100031-g1
310	c100032-g1
325	c100032-g2
1128	c100033-g1
423	c100034-g1
486	c100034-g2
324	c100034-g3
278	c100034-g4
216	c100035-g1
211	c100035-g2
1367	c100036-g1
327	c100036-g2
293	c100036-g3
1358	c100037-g1
777	c100038-g1
362	c100038-g2
1053	c100039-g1
427	c100040-g1
374	c100041-g1
243	c100042-g1
417	c100042-g2
266	c100042-g3
525	c100043-g1
4376	c100044-g1
4560	c100044-g2
427	c100044-g3
682	c100045-g1
1668	c100046-g1
729	c100047-g1
1530	c100048-g1
3189	c100049-g1
319	c100050-g1
457	c100051-g1
12497	c100052-g1
342	c100053-g1
1237	c100053-g2
220	c100054-g1
697	c100054-g2
268	c100054-g3
302	c100054-g4
426	c100054-g5
367	c100055-g1
1237	c100055-g2
1300	c100056-g1
1187	c100056-g2
294	c100057-g1
2248	c100058-g1
482	c100059-g1
1003	c100060-g1
2015	c100061-g1
2059	c100063-g1
684	c100064-g1
434	c100064-g2
688	c100065-g1
1380	c100066-g1
201	c100066-g2
472	c100066-g3
2493	c100066-g4
2483	c100067-g1
425	c100068-g1
202	c100068-g2
234	c100068-g3
335	c100068-g4
252	c100068-g5
708	c100068-g6
1031	c100069-g1
1073	c100070-g1
1948	c100071-g1
1357	c100072-g1
214	c100073-g1
451	c100073-g2
762	c100074-g1
1119	c100075-g1
251	c100075-g2
233	c100076-g1
2074	c100076-g2
902	c100077-g1
238	c100077-g3
254	c100078-g1
538	c100078-g2
503	c100078-g3
757	c100078-g4
2153	c100079-g1
559	c100080-g1
1347	c100080-g2
1377	c100081-g1
1899	c100082-g1
732	c100083-g1
474	c100083-g2
293	c100084-g1
2583	c100085-g1
669	c100086-g1
666	c100087-g1
6050	c100088-g1
1757	c100089-g1
494	c100090-g1
1953	c100091-g1
326	c100092-g1
3694	c100092-g2
1892	c100093-g1
1425	c100094-g1
662	c100095-g1
278	c100095-g2
1408	c100096-g1
757	c100097-g1
2909	c100098-g1
529	c100099-g1
648	c100099-g2
1518	c100100-g1
504	c100100-g3
1276	c100101-g1
232	c100102-g1
1604	c100102-g2
941	c100103-g1
891	c100103-g2
1362	c100103-g3
2417	c100104-g1
6649	c100105-g1
6400	c100106-g1
568	c100107-g1
736	c100108-g1
4378	c100109-g1
3620	c100110-g1
264	c100110-g2
768	c100111-g1
3450	c100112-g1
587	c100113-g1
1405	c100114-g1
849	c100115-g1
2427	c100116-g1
391	c100116-g3
1736	c100117-g1
1139	c100117-g3
1452	c100118-g1
1461	c100119-g1
361	c100120-g1
339	c100121-g1
212	c100121-g2
777	c100122-g1
443	c100123-g1
321	c100124-g1
211	c100124-g2
262	c100124-g3
427	c100124-g4
789	c100125-g1
1342	c100126-g1
595	c100127-g1
1256	c100128-g1
1081	c100129-g1
1020	c100129-g2
1129	c100130-g1
585	c100131-g1
1496	c100132-g1
2278	c100132-g2
276	c100133-g1
1293	c100134-g1
1544	c100135-g1
2423	c100135-g2
1053	c100136-g1
2164	c100137-g1
223	c100138-g1
1978	c100139-g1
450	c100140-g1
1645	c100140-g2
677	c100141-g1
1271	c100142-g1
1256	c100143-g1
964	c100144-g1
3543	c100145-g1
1354	c100145-g3
355	c100145-g4
1600	c100146-g1
1213	c100147-g1
3347	c100148-g1
874	c100150-g1
1108	c100151-g1
1188	c100152-g1
2467	c100153-g1
1087	c100154-g1
751	c100155-g1
613	c100156-g1
493	c100156-g2
389	c100157-g1
858	c100158-g1
675	c100159-g1
1053	c100160-g1
1490	c100161-g1
545	c100162-g1
261	c100163-g1
1344	c100163-g2
290	c100164-g1
2826	c100164-g2
2338	c100165-g1
6094	c100166-g1
665	c100167-g1
676	c100168-g1
768	c100169-g1
283	c100170-g1
1100	c100170-g2
824	c100171-g1
2014	c100172-g1
618	c100173-g1
1470	c100174-g1
2710	c100175-g1
820	c100176-g1
1089	c100177-g1
838	c100178-g1
4276	c100179-g1
218	c100179-g2
2518	c100180-g1
800	c100181-g1
4298	c100181-g2
386	c100182-g1
250	c100182-g2
1029	c100183-g1
441	c100184-g1
1750	c100185-g1
392	c100186-g1
245	c100186-g2
1610	c100187-g1
731	c100188-g1
776	c100188-g2
1094	c100189-g1
1680	c100190-g1
498	c100191-g1
920	c100192-g1
929	c100193-g1
280	c100193-g2
454	c100194-g1
202	c100194-g2
556	c100195-g1
810	c100195-g2
1134	c100196-g1
367	c100197-g1
1131	c100198-g1
1041	c100199-g1
252	c10019-g1
990	c100200-g1
931	c100201-g1
746	c100202-g1
957	c100203-g1
644	c100204-g1
2105	c100205-g1
1135	c100205-g3
268	c100206-g1
930	c100206-g2
467	c100207-g1
562	c100208-g1
1091	c100209-g1
210	c100210-g1
396	c100210-g2
1822	c100211-g1
494	c100212-g1
1391	c100212-g2
400	c100213-g1
954	c100214-g1
2321	c100215-g1
569	c100215-g3
206	c100215-g5
269	c100215-g6
456	c100216-g1
819	c100217-g1
336	c100217-g2
1884	c100218-g1
1672	c100219-g1
