automated_name	n_proteins	detected_in_input	detected_in_phospho	detected_in_input_norm_phospho
c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	2	TRUE	TRUE	TRUE
c100000-g3 1-to-1 PARD3 par-3 family cell polarity regulator	2	TRUE	TRUE	TRUE
c100001-g1 1-to-1 DDX46 DEAD-box helicase 46	2	TRUE	TRUE	TRUE
c100001-g3 hs-RSRC1	1	TRUE	TRUE	TRUE
c100004-g1 2-to-1 PRKG1 protein kinase, cGMP-dependent, type I	1	TRUE	FALSE	FALSE
c100005-g1 hs-CIPC	1	TRUE	TRUE	TRUE
c100006-g1 1-to-1 COG3 component of oligomeric golgi complex 3	2	TRUE	TRUE	FALSE
c100007-g1 1-to-1 TEX9 testis expressed 9	1	TRUE	FALSE	FALSE
c100008-g1 1-to-2 RPRD1B,RPRD1A regulation of nuclear pre-mRNA domain containing 1B	1	TRUE	TRUE	TRUE
c100009-g1 1-to-2 DEGS2,DEGS1 delta 4-desaturase, sphingolipid 2	1	TRUE	FALSE	FALSE
c100012-g2 SSC4D (scavenger receptor cysteine rich family, 4 domains) - blastp	1	FALSE	TRUE	FALSE
c100015-g1 LDLRAP1 (low density lipoprotein receptor adaptor protein 1) - emapper OG	1	TRUE	TRUE	TRUE
c100018-g1 1-to-1 UPB1 beta-ureidopropionase 1	1	TRUE	FALSE	FALSE
c100019-g1 1-to-1 TADA2B transcriptional adaptor 2B	1	FALSE	TRUE	FALSE
c100020-g1 hs-ZG16	2	TRUE	TRUE	FALSE
c100021-g1 1-to-1 SLC25A44 solute carrier family 25 member 44	1	TRUE	FALSE	FALSE
c100023-g1 (Spastic ataxia of Charlevoix-Saguenay (Sacsin)) - emapper OG	5	TRUE	FALSE	FALSE
c100024-g1 (Pyruvate phosphate dikinase, PEP/pyruvate binding domain) - emapper OG	1	TRUE	TRUE	TRUE
c100025-g1 1-to-1 BTAF1 B-TFIID TATA-box binding protein associated factor 1	4	TRUE	TRUE	TRUE
c100026-g1 1-to-1 DNM1L dynamin 1 like	2	TRUE	TRUE	TRUE
c100029-g1 (Inherit from KOG: F-box and leucine-rich repeat protein) - emapper OG	1	TRUE	FALSE	FALSE
c100031-g1 1-to-1 FYCO1 FYVE and coiled-coil domain containing 1	3	TRUE	TRUE	FALSE
c100033-g1 CPS1 (carbamoylphosphate synthase) - emapper OG	1	FALSE	TRUE	FALSE
c100034-g1	1	FALSE	TRUE	FALSE
c100037-g1 (ADP-ribosylglycohydrolase) - emapper OG	1	TRUE	FALSE	FALSE
c100039-g1 (protein phosphatase 1, regulatory subunit) - emapper OG	1	FALSE	TRUE	FALSE
c100041-g1 1-to-1 PPIL3 peptidylprolyl isomerase like 3	1	TRUE	TRUE	TRUE
c100044-g1 5-to-3 EPHA4,EPHA3,EPHA6 EPH receptor A4	2	TRUE	TRUE	TRUE
c100045-g1 (ribosomal protein s6 kinase) - emapper OG	1	FALSE	TRUE	FALSE
c100046-g1	1	TRUE	TRUE	TRUE
c100047-g1 RAB22A (RAB22A, member RAS oncogene family) - emapper OG	1	TRUE	FALSE	FALSE
c100048-g1 (26S protease regulatory subunit) - emapper OG	1	TRUE	TRUE	TRUE
c100051-g1 STX7 (syntaxin 7) - blastp	1	FALSE	TRUE	FALSE
c100052-g1 RNF213 (ring finger protein 213) - blastp	1	TRUE	FALSE	FALSE
c100053-g2 3-to-2 CASP2,CASP1 caspase 2	1	TRUE	FALSE	FALSE
c100054-g2	1	TRUE	FALSE	FALSE
c100054-g4	2	TRUE	FALSE	FALSE
c100058-g1 FIS1 (fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)) - emapper OG	1	TRUE	FALSE	FALSE
c100060-g1 1-to-1 CSTF3 cleavage stimulation factor subunit 3	2	TRUE	TRUE	FALSE
c100061-g1 1-to-4 JPH3,JPH1,JPH2,JPH4 junctophilin 3	2	TRUE	TRUE	TRUE
c100063-g1 1-to-1 LTA4H leukotriene A4 hydrolase	1	TRUE	FALSE	FALSE
c100066-g4 (Protein Tyrosine Phosphatase) - emapper OG	2	TRUE	TRUE	TRUE
c100067-g1 MAPKBP1 (mitogen-activated protein kinase binding protein 1) - blastp	2	TRUE	TRUE	TRUE
c100071-g1 1-to-2 NME8,NME9 NME/NM23 family member 8	1	TRUE	FALSE	FALSE
c100072-g1 1-to-1 C17orf62 chromosome 17 open reading frame 62	2	TRUE	FALSE	FALSE
c100074-g1 1-to-1 MRPS23 mitochondrial ribosomal protein S23	1	TRUE	FALSE	FALSE
c100075-g1 1-to-1 PCID2 PCI domain containing 2	1	TRUE	FALSE	FALSE
c100076-g2 1-to-1 SAP30BP SAP30 binding protein	1	TRUE	TRUE	TRUE
c100079-g1 1-to-2 SIAH2,SIAH3 siah E3 ubiquitin protein ligase 2	1	TRUE	TRUE	TRUE
c100081-g1 1-to-1 GRAMD1B GRAM domain containing 1B	1	TRUE	TRUE	TRUE
c100082-g1 hs-DOK1,DOK2,DOK6,PLEKHN1,DOK7,DOK3	2	FALSE	TRUE	FALSE
