Trinity_geneID	seurat_name	Gene_short_automated	PROST_result	Musser_et_al_2021	Ruperti_et_al_2024	name_type	Zang_et_al_2026	name_source
c100-g1	c100-g1	c100-g1	NA	NA	NA	trinity_only	c100-g1	trinity_only
c100000-g1	c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	Mospd2	hs-SEC14L4,SEC14L3,SEC14L6,SEC14L2	NA	NA	symbol	Mospd2	Gene_short_automated
c100000-g2	c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	Mospd2	hs-SEC14L4,SEC14L3,SEC14L6,SEC14L2	NA	NA	symbol	Mospd2	Gene_short_automated
c100000-g3	c100000-g3 1-to-1 PARD3 par-3 family cell polarity regulator	Pard3	Pdzd4, Mus musculus	NA	NA	symbol	Pard3	Gene_short_automated
c100001-g1	c100001-g1 1-to-1 DDX46 DEAD-box helicase 46	Ddx46	hs-DDX41,DDX52,DDX59,DDX25,DDX19B,DDX19A,DDX18,DDX51,..	NA	NA	symbol	Ddx46	Gene_short_automated
c100001-g2	c100001-g1 1-to-1 DDX46 DEAD-box helicase 46	Ddx46	hs-DDX41,DDX52,DDX59,DDX25,DDX19B,DDX19A,DDX18,DDX51,..	NA	NA	symbol	Ddx46	Gene_short_automated
c100001-g3	c100001-g3 hs-RSRC1	Rsrc1*	hs-RSRC1	NA	NA	symbol	Rsrc1*	Gene_short_automated
c100002-g1	c100002-g1	c100002-g1	NA	NA	NA	trinity_only	c100002-g1	trinity_only
c100003-g1	c100003-g1	c100003-g1	NA	NA	NA	trinity_only	c100003-g1	trinity_only
c100003-g2	c100003-g2	c100003-g2	NA	NA	NA	trinity_only	c100003-g2	trinity_only
c100004-g1	c100004-g1 2-to-1 PRKG1 protein kinase, cGMP-dependent, type I	Prkg1	hs-PRKG1,PRKG2,PRKCZ,PRKCQ,PRKCD,PRKCI,PRKCH,PRKCE,PR..	NA	NA	symbol	Prkg1	Gene_short_automated
c100005-g1	c100005-g1 hs-CIPC	Cipc*	hs-CIPC	NA	NA	symbol	Cipc*	Gene_short_automated
c100006-g1	c100006-g1 1-to-1 COG3 component of oligomeric golgi complex 3	Cog3	hs-COG3,VPS54	NA	NA	symbol	Cog3	Gene_short_automated
c100007-g1	c100007-g1 1-to-1 TEX9 testis expressed 9	Tex9	NA	NA	NA	symbol	Tex9	Gene_short_automated
c100007-g2	c100007-g1 1-to-1 TEX9 testis expressed 9	Tex9	NA	NA	NA	symbol	Tex9	Gene_short_automated
c100008-g1	c100008-g1 1-to-2 RPRD1B,RPRD1A regulation of nuclear pre-mRNA domain containing 1B	Rprd1a/b	hs-RPRD1B,RPRD1A	NA	NA	symbol	Rprd1a/b	Gene_short_automated
c100009-g1	c100009-g1 1-to-2 DEGS2,DEGS1 delta 4-desaturase, sphingolipid 2	Degs1/2	hs-DEGS1,DEGS2,FADS6	NA	NA	symbol	Degs1/2	Gene_short_automated
c100010-g1	c100010-g1	c100010-g1	NA	NA	NA	trinity_only	c100010-g1	trinity_only
c100010-g2	c100010-g2	c100010-g2	NA	NA	NA	trinity_only	c100010-g2	trinity_only
c100010-g3	c100010-g3	c100010-g3	NA	NA	NA	trinity_only	c100010-g3	trinity_only
c100011-g1	c100011-g1 hs-IFITM3,IFITM2,TMEM91,TRARG1,PMIS2	Ifitm3*	hs-IFITM3,IFITM2,TMEM91,TRARG1,PMIS2	NA	NA	symbol	Ifitm3*	Gene_short_automated
c100011-g2	c100011-g2 hs-TMEM91,IFITM3,IFITM2,PMIS2,TRARG1	Tmem91*	hs-TMEM91,IFITM3,IFITM2,PMIS2,TRARG1	NA	NA	symbol	Tmem91* D	Gene_short_automated+suffix
c100011-g3	c100011-g3 psbH, Prochlorococcus marinus (strain AS9601)	Psbh*	psbH, Prochlorococcus marinus (strain AS9601)	NA	NA	symbol	Psbh*	Gene_short_automated
c100012-g1	c100012-g1 1-to-1 LRP2 LDL receptor related protein 2	Lrp2	hs-CD5,KIR2DL3,CEACAM20,CD6,FCGR2A	Lrp2 LDL receptor related protein 2	NA	symbol	Lrp2	reviewed
