Automated.name	clean_annotation_name	clean_annotation_name_fixed	Plot_Module	Label_Name	module
c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	MOSPD2	MOSPD2	FALSE	FALSE	Phospholipid signaling
c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	MOSPD2	MOSPD2	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c100000-g1 1-to-1 MOSPD2 motile sperm domain containing 2	MOSPD2	MOSPD2	FALSE	FALSE	Vesicular trafficking
c100000-g3 1-to-1 PARD3 par-3 family cell polarity regulator	PARD3	PARD3	TRUE	FALSE	Microtubule dynamics
c100000-g3 1-to-1 PARD3 par-3 family cell polarity regulator	PARD3	PARD3	TRUE	FALSE	Regulation of adhesion complexes
c100000-g3 1-to-1 PARD3 par-3 family cell polarity regulator	PARD3	PARD3	TRUE	FALSE	Regulation of cytoskeleton at the membrane
c100008-g1 1-to-2 RPRD1B,RPRD1A regulation of nuclear pre-mRNA domain containing 1B	RPRD1B,RPRD1A	RPRD1B,RPRD1A	FALSE	FALSE	RNA processing
c100015-g1 LDLRAP1 (low density lipoprotein receptor adaptor protein 1) - emapper OG	LDLRAP1	LDLRAP1	FALSE	FALSE	Metabolism
c100015-g1 LDLRAP1 (low density lipoprotein receptor adaptor protein 1) - emapper OG	LDLRAP1	LDLRAP1	FALSE	FALSE	Phospholipid signaling
c100024-g1 (Pyruvate phosphate dikinase, PEP/pyruvate binding domain) - emapper OG	Pyruvatephosphatedikinase,PEP/pyruvatebindingdomain	Pyruvatephosphatedikinase,PEP/pyruvatebindingdomain	FALSE	FALSE	Metabolism
c99111-g1 (mannose receptor, C type 1) - emapper OG	NA	NA	FALSE	FALSE	Vesicular trafficking
c100044-g1 5-to-3 EPHA4,EPHA3,EPHA6 EPH receptor A4	EPHA4,EPHA3,EPHA6	EPHA4,EPHA3,EPHA6	TRUE	FALSE	Regulation of adhesion complexes
c95711-g2 (RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)) - emapper OG	NA	NA	FALSE	FALSE	RNA processing
c104090-g1 (solute carrier family 30 (zinc transporter), member) - emapper OG	NA	NA	FALSE	FALSE	Plasma membrane transporter
c100109-g1 1-to-1 RAPGEF1 Rap guanine nucleotide exchange factor 1	RAPGEF1	RAPGEF1	FALSE	FALSE	Regulation of adhesion complexes
c100110-g1 1-to-1 KAZN kazrin, periplakin interacting protein	KAZN	KAZN	TRUE	TRUE	Regulation of adhesion complexes
c100110-g1 1-to-1 KAZN kazrin, periplakin interacting protein	KAZN	KAZN	TRUE	TRUE	Regulation of cytoskeleton at the membrane
c88998-g1 3-to-1 ABRA actin binding Rho activating protein	NA	NA	TRUE	FALSE	Actin dynamics
c88998-g1 3-to-1 ABRA actin binding Rho activating protein	NA	NA	TRUE	FALSE	Differentiation (muscle cell related)
c88998-g1 3-to-1 ABRA actin binding Rho activating protein	NA	NA	TRUE	FALSE	RhoA GTPase signaling
c100126-g1 DCP1 (Dcp1-like decapping family) - emapper OG	DCP1	DCP1	FALSE	FALSE	RNA processing
c95797-g1 ABRACL (ABRA C-terminal like) - emapper OG	NA	NA	FALSE	FALSE	Actin dynamics
c95797-g1 ABRACL (ABRA C-terminal like) - emapper OG	NA	NA	FALSE	FALSE	Rho signaling
c104454-g1 2-to-2 ADAP2,ADAP1 ArfGAP with dual PH domains 2	NA	NA	FALSE	FALSE	Vesicular trafficking
c100137-g1 1-to-1 WAPL WAPL cohesin release factor	WAPL	WAPL	FALSE	FALSE	Microtubule dynamics
c104581-g1 5-to-2 ADGRG6,ADGRG2 adhesion G protein-coupled receptor G6	NA	NA	FALSE	FALSE	GPCR signaling
c104581-g1 5-to-2 ADGRG6,ADGRG2 adhesion G protein-coupled receptor G6	NA	NA	FALSE	FALSE	Regulation of adhesion complexes
c100170-g2 IFT43, Bos taurus	IFT43,	IFT43	FALSE	FALSE	Regulation of ciliary function
c100170-g2 IFT43, Bos taurus	IFT43,	IFT43	FALSE	FALSE	Vesicular trafficking
c100179-g1 GBF1 (Golgi brefeldin A resistant guanine nucleotide exchange factor 1) - emapper OG	GBF1	GBF1	FALSE	FALSE	Vesicular trafficking
c100253-g2 1-to-1 ADGRV1 adhesion G protein-coupled receptor V1	NA	NA	TRUE	FALSE	GPCR signaling
c100253-g2 1-to-1 ADGRV1 adhesion G protein-coupled receptor V1	NA	NA	TRUE	FALSE	Regulation of adhesion complexes
c100216-g1 1-to-1 KIAA1143 KIAA1143	KIAA1143	KIAA1143	FALSE	FALSE	Regulation of adhesion complexes
c100219-g1 EHBP1L1 (EH domain binding protein 1 like 1) - blastp	EHBP1L1	EHBP1L1	FALSE	FALSE	Regulation of ciliary function
c100219-g1 EHBP1L1 (EH domain binding protein 1 like 1) - blastp	EHBP1L1	EHBP1L1	FALSE	FALSE	Vesicular trafficking
c100221-g1 1-to-1 POU1F1 POU class 1 homeobox 1	POU1F1	POU1F1	FALSE	FALSE	Differentiation (gland cell related)
c100221-g1 1-to-1 POU1F1 POU class 1 homeobox 1	POU1F1	POU1F1	FALSE	FALSE	Metabolism
c100223-g1 1-to-1 CKAP5 cytoskeleton associated protein 5	CKAP5	CKAP5	FALSE	FALSE	Actin dynamics
c100223-g1 1-to-1 CKAP5 cytoskeleton associated protein 5	CKAP5	CKAP5	FALSE	FALSE	Microtubule dynamics
c6839-g1 1-to-1 AIDA axin interactor, dorsalization associated	NA	NA	FALSE	FALSE	JNK/p38 MAPK signaling
c99056-g1 2-to-2 ALS2,ALS2CL ALS2, alsin Rho guanine nucleotide exchange factor	NA	NA	FALSE	FALSE	Rac1 GTPase signaling
c99056-g1 2-to-2 ALS2,ALS2CL ALS2, alsin Rho guanine nucleotide exchange factor	NA	NA	FALSE	FALSE	Vesicular trafficking
c100251-g1 1-to-1 C10orf76 chromosome 10 open reading frame 76	C10orf76	C10orf76	FALSE	FALSE	Vesicular trafficking
c98926-g1 ALS2CR12 (amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12) - emapper OG	NA	NA	FALSE	FALSE	Regulation of ciliary function
c100269-g2 1-to-1 PAN3 PAN3 poly(A) specific ribonuclease subunit	PAN3	PAN3	FALSE	FALSE	RNA processing
c100290-g1 1-to-1 KIAA1109 KIAA1109	KIAA1109	KIAA1109	FALSE	FALSE	Regulation of adhesion complexes
c100290-g1 1-to-1 KIAA1109 KIAA1109	KIAA1109	KIAA1109	FALSE	FALSE	Regulation of cytoskeleton at the membrane
c100290-g1 1-to-1 KIAA1109 KIAA1109	KIAA1109	KIAA1109	FALSE	FALSE	Vesicular trafficking
c100305-g1 GAB4 (GRB2 associated binding protein family member 4) - blastp	GAB4	GAB4	FALSE	FALSE	Regulation of cell cycle
c100308-g2 SSB (Sjogren syndrome antigen B (autoantigen La)) - emapper OG	SSB	SSB	FALSE	FALSE	Regulation of cell cycle
c100337-g1 DUOX1 (Dual oxidase) - emapper OG	DUOX1	DUOX1	TRUE	FALSE	NO signaling
c100343-g1 1-to-1 SYAP1 synapse associated protein 1	SYAP1	SYAP1	TRUE	FALSE	MTORC2 signaling
c100343-g1 1-to-1 SYAP1 synapse associated protein 1	SYAP1	SYAP1	TRUE	FALSE	Vesicular trafficking
c100362-g1 BUR (GMP synthase) - emapper OG	BUR	BUR	FALSE	FALSE	Metabolism
c100410-g1 1-to-1 PRCC papillary renal cell carcinoma (translocation-associated)	PRCC	PRCC	FALSE	FALSE	JNK/p38 MAPK signaling
c100410-g1 1-to-1 PRCC papillary renal cell carcinoma (translocation-associated)	PRCC	PRCC	FALSE	FALSE	PI3K signaling
c97310-g2 1-to-1 AMOT angiomotin	NA	NA	TRUE	FALSE	Actin dynamics
c97310-g2 1-to-1 AMOT angiomotin	NA	NA	TRUE	FALSE	Differentiation (muscle cell related)
c97310-g2 1-to-1 AMOT angiomotin	NA	NA	TRUE	FALSE	Regulation of adhesion complexes
c100428-g3 2-to-4 EPB41L1,EPB41L2,EPB41L3,EPB41 erythrocyte membrane protein band 4.1 like 1	EPB41L1,EPB41L2,EPB41L3,EPB41	EPB41L1,EPB41L2,EPB41L3,EPB41	TRUE	FALSE	Regulation of adhesion complexes
c100428-g3 2-to-4 EPB41L1,EPB41L2,EPB41L3,EPB41 erythrocyte membrane protein band 4.1 like 1	EPB41L1,EPB41L2,EPB41L3,EPB41	EPB41L1,EPB41L2,EPB41L3,EPB41	TRUE	FALSE	Regulation of cytoskeleton at the membrane
